"#","ID","NAME","POS","TEAM","OVERALL","POSITION","ADP"
"1","1214154","Jahmyr Gibbs","RB","DET","1","RB1","1.1"
"2","1228244","Bijan Robinson","RB","ATL","2","RB2","2.1"
"3","1162128","Puka Nacua","WR","LA","3","WR1","4.0"
"4","1109979","Ja'Marr Chase","WR","CIN","4","WR2","3.1"
"5","830517","Christian McCaffrey","RB","SF","5","RB3","6.2"
"6","1214087","Jaxon Smith-Njigba","WR","SEA","6","WR3","5.5"
"7","1127106","Amon-Ra St. Brown","WR","DET","7","WR4","7.1"
"8","1065406","Jonathan Taylor","RB","IND","8","RB4","8.5"
"9","1069535","Justin Jefferson","WR","MIN","9","WR5","9.3"
"10","1062020","CeeDee Lamb","WR","DAL","10","WR6","10.4"
"11","1131012","James Cook","RB","BUF","11","RB5","10.7"
"12","1379646","Ashton Jeanty","RB","LV","12","RB6","12.4"
"13","883302","Saquon Barkley","RB","PHI","13","RB7","13.4"
"14","1164402","Kenneth Walker III","RB","KC","14","RB8","15.5"
"15","1231820","De'Von Achane","RB","MIA","15","RB9","18.9"
"16","1398572","Omarion Hampton","RB","LAC","16","RB10","14.8"
"17","1123379","Chase Brown","RB","CIN","17","RB11","16.7"
"18","944826","A.J. Brown","WR","NE","18","WR7","16.1"
"19","732145","Derrick Henry","RB","BLT","19","RB12","19.3"
"20","1178741","Drake London","WR","ATL","20","WR8","21.1"
"21","1173538","Rashee Rice","WR","KC","21","WR9","23.4"
"22","1285917","Brock Bowers","TE","LV","22","TE1","19.4"
"23","1074698","Nico Collins","WR","HST","23","WR10","23.1"
"24","1172053","George Pickens","WR","DAL","24","WR11","24.0"
"25","1451501","Jeremiyah Love","RB","ARZ","25","RB13","27.5"
"26","1060262","DeVonta Smith","WR","PHI","26","WR12","28.0"
"27","868199","Josh Allen","QB","BUF","27","QB1","27.1"
"28","1122592","Chris Olave","WR","NO","28","WR13","28.8"
"29","1108161","Trey McBride","TE","ARZ","29","TE2","25.6"
"30","1162537","Breece Hall","RB","NYJ","30","RB14","34.5"
"31","1167361","Kyren Williams","RB","LA","31","RB15","30.0"
"32","1177053","Zay Flowers","WR","BLT","32","WR14","31.8"
"33","978579","Tee Higgins","WR","CIN","33","WR15","35.3"
"34","1107881","Javonte Williams","RB","DAL","34","RB16","36.6"
"35","1287825","Emeka Egbuka","WR","TB","35","WR16","30.7"
"36","1164889","Garrett Wilson","WR","NYJ","36","WR17","38.2"
"37","1218643","Ladd McConkey","WR","LAC","37","WR18","34.8"
"38","944416","Josh Jacobs","RB","GB","38","RB17","41.4"
"39","1280316","Cam Skattebo","RB","NYG","39","RB18","44.8"
"40","1125749","Jaylen Waddle","WR","DEN","40","WR19","40.3"
"41","946739","David Montgomery","RB","HST","41","RB19","48.3"
"42","1380576","Tetairoa McMillan","WR","CAR","42","WR20","42.6"
"43","836116","Terry McLaurin","WR","WAS","43","WR21","45.8"
"44","978577","Travis Etienne","RB","NO","44","RB20","41.6"
"45","611417","Davante Adams","WR","LA","45","WR22","49.1"
"46","1286059","Malik Nabers","WR","NYG","46","WR23","36.0"
"47","593587","Mike Evans","WR","SF","47","WR24","51.3"
"48","1378821","Colston Loveland","TE","CHI","48","TE3","39.9"
"49","1175184","Jameson Williams","WR","DET","49","WR25","52.7"
"50","877790","DJ Moore","WR","BUF","50","WR26","48.6"
"51","1327169","Bhayshul Tuten","RB","JAX","51","RB21","52.1"
"52","1377732","Luther Burden III","WR","CHI","52","WR27","45.5"
"53","877745","Lamar Jackson","QB","BLT","53","QB2","53.8"
"54","1383807","Quinshon Judkins","RB","CLV","54","RB22","55.6"
"55","1067918","Christian Watson","WR","GB","55","WR28","55.1"
"56","1069808","D'Andre Swift","RB","CHI","56","RB23","50.6"
"57","1213727","Rome Odunze","WR","CHI","57","WR29","59.0"
"58","1286803","Drake Maye","QB","NE","58","QB3","64.0"
"59","1287923","Bucky Irving","RB","TB","59","RB24","60.6"
"60","1229083","Tyler Warren","TE","IND","60","TE4","61.2"
"61","1441839","Carnell Tate","WR","TEN","61","WR30","62.2"
"62","878785","Joe Burrow","QB","CIN","62","QB4","58.9"
"63","1229074","Parker Washington","WR","JAX","63","WR31","64.5"
"64","1287837","TreVeyon Henderson","RB","NE","64","RB25","57.2"
"65","1286064","Brian Thomas Jr.","WR","JAX","65","WR32","66.0"
"66","1161228","Jayden Daniels","QB","WAS","66","QB5","69.8"
"67","1394692","Jordyn Tyson","WR","NO","67","WR33","68.9"
"68","880398","Tony Pollard","RB","TEN","68","RB26","72.4"
"69","913271","Jalen Hurts","QB","PHI","69","QB6","75.3"
"70","1383791","Jadarian Price","RB","SEA","70","RB27","64.1"
"71","1287828","Marvin Harrison Jr.","WR","ARZ","71","WR34","66.8"
"72","945633","DK Metcalf","WR","PIT","72","WR35","76.1"
"73","1174682","Rhamondre Stevenson","RB","NE","73","RB28","76.2"
"74","1213865","Quentin Johnston","WR","LAC","74","WR36","72.6"
"75","1176443","Jaylen Warren","RB","PIT","75","RB29","73.7"
"76","1062047","Chuba Hubbard","RB","CAR","76","RB30","83.5"
"77","591816","Dak Prescott","QB","DAL","77","QB7","79.9"
"78","1107027","Alec Pierce","WR","IND","78","WR37","80.8"
"79","1286445","Caleb Williams","QB","CHI","79","QB8","71.7"
"80","838878","Courtland Sutton","WR","DEN","80","WR38","83.2"
"81","910562","Justin Herbert","QB","LAC","81","QB9","82.9"
"82","1110711","Trevor Lawrence","QB","JAX","82","QB10","85.4"
"83","1441120","Makai Lemon","WR","PHI","83","WR39","85.4"
"84","911348","Michael Pittman","WR","PIT","84","WR40","92.1"
"85","835127","Chris Godwin Jr.","WR","TB","85","WR41","78.7"
"86","1123398","Jayden Reed","WR","GB","86","WR42","93.4"
"87","1168926","Sam LaPorta","TE","DET","87","TE5","88.2"
"88","1181874","Tucker Kraft","TE","GB","88","TE6","77.5"
"89","1123026","Kyle Pitts","TE","ATL","89","TE7","87.2"
"90","1123529","Michael Wilson","WR","ARZ","90","WR43","87.9"
"91","839031","Patrick Mahomes","QB","KC","91","QB11","96.8"
"92","1214250","Jordan Addison","WR","MIN","92","WR44","98.9"
"93","933480","Rico Dowdle","RB","PIT","93","RB31","90.8"
"94","1215077","Josh Downs","WR","IND","94","WR45","96.0"
"95","323205","Matthew Stafford","QB","LA","95","QB12","90.5"
"96","1130705","Kenny Gainwell","RB","TB","96","RB32","95.6"
"97","1172401","RJ Harvey","RB","DEN","97","RB33","85.4"
"98","1121761","Brock Purdy","QB","SF","98","QB13","97.9"
"99","1164875","Wan'Dale Robinson","WR","TEN","99","WR46","105.8"
"100","1286260","Jaxson Dart","QB","NYG","100","QB14","103.5"
"101","880151","Jakobi Meyers","WR","JAX","101","WR47","114.3"
"102","1394752","Harold Fannin Jr.","TE","CLV","102","TE8","102.8"
"103","1161416","Ricky Pearsall","WR","SF","103","WR48","99.1"
"104","727837","Jared Goff","QB","DET","104","QB15","104.4"
"105","1250886","Kyle Monangai","RB","CHI","105","RB34","101.2"
"106","1229540","Blake Corum","RB","LA","106","RB35","102.0"
"107","1161899","Bo Nix","QB","DEN","107","QB16","109.7"
"108","879799","Kyler Murray","QB","MIN","108","QB17","112.0"
"109","1326601","Jonathon Brooks","RB","CAR","109","RB36","95.2"
"110","733672","George Kittle","TE","SF","110","TE9","108.5"
"111","912137","Jordan Love","QB","GB","111","QB18","113.9"
"112","1326638","Xavier Worthy","WR","KC","112","WR49","110.5"
"113","1122653","Romeo Doubs","WR","NE","113","WR50","120.4"
"114","791365","Dallas Goedert","TE","PHI","114","TE10","121.8"
"115","741314","Aaron Jones","RB","MIN","115","RB37","126.0"
"116","976513","J.K. Dobbins","RB","DEN","116","RB38","108.5"
"117","1110306","Tyler Shough","QB","NO","117","QB19","118.1"
"118","1229343","Rachaad White","RB","WAS","118","RB39","112.2"
"119","448240","Travis Kelce","TE","KC","119","TE11","119.4"
"120","1441576","KC Concepcion","WR","CLV","120","WR51","126.6"
"121","1379267","Matthew Golden","WR","GB","121","WR52","115.7"
"122","748070","Baker Mayfield","QB","TB","122","QB20","121.0"
"123","976323","Malik Willis","QB","MIA","123","QB21","131.7"
"124","1135513","Dalton Kincaid","TE","BUF","124","TE12","112.9"
"125","1125111","Isaiah Likely","TE","NYG","125","TE13","119.6"
"126","1065361","Jake Ferguson","TE","DAL","126","TE14","128.4"
"127","820699","Mark Andrews","TE","BLT","127","TE15","131.1"
